Cold,Sneeze,Allergy,Scratch,Cat,Joint_Prob
0,0,0,0,0,0.831825
0,0,0,1,0,0.043780
0,1,0,0,0,0.008402
0,1,0,1,0,0.000442
0,0,1,0,0,0.013267
0,0,1,1,0,0.000698
0,1,1,0,0,0.030956
0,1,1,1,0,0.001629
0,0,0,0,1,0.002351
0,0,0,1,1,0.002351
0,1,0,0,1,0.000024
0,1,0,1,1,0.000024
0,0,1,0,1,0.002137
0,0,1,1,1,0.002137
0,1,1,0,1,0.004987
0,1,1,1,1,0.004987
1,0,0,0,0,0.008844
1,0,0,1,0,0.000466
1,1,0,0,0,0.035378
1,1,0,1,0,0.001862
1,0,1,0,0,0.000233
1,0,1,1,0,0.000012
1,1,1,0,0,0.002095
1,1,1,1,0,0.000110
1,0,0,0,1,0.000025
1,0,0,1,1,0.000025
1,1,0,0,1,0.000100
1,1,0,1,1,0.000100
1,0,1,0,1,0.000038
1,0,1,1,1,0.000038
1,1,1,0,1,0.000338
1,1,1,1,1,0.000338
